cycle,state,modeldate,candidate_name,pct_trend_adjusted,winner
2020,National,2020-03-11,Donald Trump,44.42228,Joseph R. Biden Jr.
2020,National,2020-03-12,Donald Trump,44.47955,Joseph R. Biden Jr.
2020,National,2020-03-12,Joseph R. Biden Jr.,50.02896,Joseph R. Biden Jr.
2020,National,2020-03-13,Donald Trump,44.40431,Joseph R. Biden Jr.
2020,National,2020-03-13,Joseph R. Biden Jr.,50.32515,Joseph R. Biden Jr.
2020,National,2020-03-14,Donald Trump,44.40435,Joseph R. Biden Jr.
2020,National,2020-03-14,Joseph R. Biden Jr.,50.32616,Joseph R. Biden Jr.
2020,National,2020-03-15,Joseph R. Biden Jr.,50.21645,Joseph R. Biden Jr.
2020,National,2020-03-15,Donald Trump,44.33923,Joseph R. Biden Jr.
2020,National,2020-03-16,Joseph R. Biden Jr.,50.19815,Joseph R. Biden Jr.
2020,National,2020-03-16,Donald Trump,43.9433,Joseph R. Biden Jr.
2020,National,2020-03-17,Joseph R. Biden Jr.,50.25461,Joseph R. Biden Jr.
2020,National,2020-03-17,Donald Trump,43.84169,Joseph R. Biden Jr.
2020,National,2020-03-18,Donald Trump,43.84169,Joseph R. Biden Jr.
2020,National,2020-03-18,Joseph R. Biden Jr.,50.25461,Joseph R. Biden Jr.
2020,National,2020-03-19,Donald Trump,44.04239,Joseph R. Biden Jr.
2020,National,2020-03-19,Joseph R. Biden Jr.,50.83853,Joseph R. Biden Jr.
2020,National,2020-03-20,Donald Trump,44.03054,Joseph R. Biden Jr.
2020,National,2020-03-20,Joseph R. Biden Jr.,50.82883,Joseph R. Biden Jr.
2020,National,2020-03-21,Donald Trump,44.0462,Joseph R. Biden Jr.
2020,National,2020-03-21,Joseph R. Biden Jr.,50.83089,Joseph R. Biden Jr.
2020,National,2020-03-22,Donald Trump,44.40266,Joseph R. Biden Jr.
2020,National,2020-03-22,Joseph R. Biden Jr.,50.61597,Joseph R. Biden Jr.
2020,National,2020-03-23,Donald Trump,43.93637,Joseph R. Biden Jr.
2020,National,2020-03-23,Joseph R. Biden Jr.,50.42982,Joseph R. Biden Jr.
2020,National,2020-03-24,Joseph R. Biden Jr.,49.88604,Joseph R. Biden Jr.
2020,National,2020-03-24,Donald Trump,43.09573,Joseph R. Biden Jr.
2020,National,2020-03-25,Donald Trump,43.6662,Joseph R. Biden Jr.
2020,National,2020-03-25,Joseph R. Biden Jr.,49.7995,Joseph R. Biden Jr.
2020,National,2020-03-26,Donald Trump,43.65187,Joseph R. Biden Jr.
2020,National,2020-03-26,Joseph R. Biden Jr.,50.05032,Joseph R. Biden Jr.
2020,National,2020-03-27,Donald Trump,43.65187,Joseph R. Biden Jr.
2020,National,2020-03-27,Joseph R. Biden Jr.,50.05032,Joseph R. Biden Jr.
2020,National,2020-03-28,Donald Trump,43.45767,Joseph R. Biden Jr.
2020,National,2020-03-28,Joseph R. Biden Jr.,49.90126,Joseph R. Biden Jr.
2020,National,2020-03-29,Donald Trump,43.42517,Joseph R. Biden Jr.
2020,National,2020-03-29,Joseph R. Biden Jr.,49.84121,Joseph R. Biden Jr.
2020,National,2020-03-30,Joseph R. Biden Jr.,49.49434,Joseph R. Biden Jr.
2020,National,2020-03-30,Donald Trump,43.35962,Joseph R. Biden Jr.
2020,National,2020-03-31,Joseph R. Biden Jr.,49.45208,Joseph R. Biden Jr.
2020,National,2020-03-31,Donald Trump,43.3201,Joseph R. Biden Jr.
2020,National,2020-04-01,Joseph R. Biden Jr.,49.21158,Joseph R. Biden Jr.
2020,National,2020-04-01,Donald Trump,43.07454,Joseph R. Biden Jr.
2020,National,2020-04-02,Donald Trump,43.07454,Joseph R. Biden Jr.
2020,National,2020-04-02,Joseph R. Biden Jr.,49.21158,Joseph R. Biden Jr.
2020,National,2020-04-03,Donald Trump,42.86735,Joseph R. Biden Jr.
2020,National,2020-04-03,Joseph R. Biden Jr.,48.70755,Joseph R. Biden Jr.
2020,National,2020-04-04,Donald Trump,42.88903,Joseph R. Biden Jr.
2020,National,2020-04-04,Joseph R. Biden Jr.,48.69036,Joseph R. Biden Jr.
2020,National,2020-04-05,Donald Trump,43.04813,Joseph R. Biden Jr.
2020,National,2020-04-05,Joseph R. Biden Jr.,48.81426,Joseph R. Biden Jr.
2020,National,2020-04-06,Donald Trump,42.86165,Joseph R. Biden Jr.
2020,National,2020-04-06,Joseph R. Biden Jr.,48.78764,Joseph R. Biden Jr.
2020,National,2020-04-07,Donald Trump,42.98745,Joseph R. Biden Jr.
2020,National,2020-04-07,Joseph R. Biden Jr.,48.27315,Joseph R. Biden Jr.
2020,National,2020-04-08,Donald Trump,42.97824,Joseph R. Biden Jr.
2020,National,2020-04-08,Joseph R. Biden Jr.,48.28708,Joseph R. Biden Jr.
2020,National,2020-04-09,Joseph R. Biden Jr.,48.28714,Joseph R. Biden Jr.
2020,National,2020-04-09,Donald Trump,42.97815,Joseph R. Biden Jr.
2020,National,2020-04-10,Donald Trump,43.00631,Joseph R. Biden Jr.
2020,National,2020-04-10,Joseph R. Biden Jr.,47.70352,Joseph R. Biden Jr.
2020,National,2020-04-11,Donald Trump,42.99973,Joseph R. Biden Jr.
2020,National,2020-04-11,Joseph R. Biden Jr.,47.63217,Joseph R. Biden Jr.
2020,National,2020-04-12,Donald Trump,44.14139,Joseph R. Biden Jr.
2020,National,2020-04-12,Joseph R. Biden Jr.,47.52043,Joseph R. Biden Jr.
2020,National,2020-04-13,Joseph R. Biden Jr.,47.52031,Joseph R. Biden Jr.
2020,National,2020-04-13,Donald Trump,44.14134,Joseph R. Biden Jr.
2020,National,2020-04-14,Joseph R. Biden Jr.,48.32554,Joseph R. Biden Jr.
2020,National,2020-04-14,Donald Trump,44.34309,Joseph R. Biden Jr.
2020,National,2020-04-15,Joseph R. Biden Jr.,48.77267,Joseph R. Biden Jr.
2020,National,2020-04-15,Donald Trump,44.00019,Joseph R. Biden Jr.
2020,National,2020-04-16,Joseph R. Biden Jr.,49.0604,Joseph R. Biden Jr.
2020,National,2020-04-16,Donald Trump,44.34444,Joseph R. Biden Jr.
2020,National,2020-04-17,Donald Trump,44.34667,Joseph R. Biden Jr.
2020,National,2020-04-17,Joseph R. Biden Jr.,49.06214,Joseph R. Biden Jr.
2020,National,2020-04-18,Donald Trump,44.35984,Joseph R. Biden Jr.
2020,National,2020-04-18,Joseph R. Biden Jr.,49.13372,Joseph R. Biden Jr.
2020,National,2020-04-19,Donald Trump,44.1413,Joseph R. Biden Jr.
2020,National,2020-04-19,Joseph R. Biden Jr.,49.22435,Joseph R. Biden Jr.
2020,National,2020-04-20,Donald Trump,43.96822,Joseph R. Biden Jr.
2020,National,2020-04-20,Joseph R. Biden Jr.,49.43744,Joseph R. Biden Jr.
2020,National,2020-04-21,Donald Trump,43.6735,Joseph R. Biden Jr.
2020,National,2020-04-21,Joseph R. Biden Jr.,49.60074,Joseph R. Biden Jr.
2020,National,2020-04-22,Joseph R. Biden Jr.,49.60074,Joseph R. Biden Jr.
2020,National,2020-04-22,Donald Trump,43.6735,Joseph R. Biden Jr.
2020,National,2020-04-23,Donald Trump,43.67319,Joseph R. Biden Jr.
2020,National,2020-04-23,Joseph R. Biden Jr.,49.60091,Joseph R. Biden Jr.
2020,National,2020-04-24,Donald Trump,43.67319,Joseph R. Biden Jr.
2020,National,2020-04-24,Joseph R. Biden Jr.,49.60091,Joseph R. Biden Jr.
2020,National,2020-04-25,Donald Trump,43.24141,Joseph R. Biden Jr.
2020,National,2020-04-25,Joseph R. Biden Jr.,49.70026,Joseph R. Biden Jr.
2020,National,2020-04-26,Donald Trump,43.25308,Joseph R. Biden Jr.
2020,National,2020-04-26,Joseph R. Biden Jr.,49.74894,Joseph R. Biden Jr.
2020,National,2020-04-27,Donald Trump,43.26067,Joseph R. Biden Jr.
2020,National,2020-04-27,Joseph R. Biden Jr.,49.73192,Joseph R. Biden Jr.
2020,National,2020-04-28,Donald Trump,43.43544,Joseph R. Biden Jr.
2020,National,2020-04-28,Joseph R. Biden Jr.,50.19525,Joseph R. Biden Jr.
2020,National,2020-04-29,Joseph R. Biden Jr.,49.4002,Joseph R. Biden Jr.
2020,National,2020-04-29,Donald Trump,43.406,Joseph R. Biden Jr.
2020,National,2020-04-30,Joseph R. Biden Jr.,49.40034,Joseph R. Biden Jr.
2020,National,2020-04-30,Donald Trump,43.4062,Joseph R. Biden Jr.
2020,National,2020-05-01,Donald Trump,43.42128,Joseph R. Biden Jr.
2020,National,2020-05-01,Joseph R. Biden Jr.,49.50872,Joseph R. Biden Jr.
2020,National,2020-05-02,Donald Trump,43.38857,Joseph R. Biden Jr.
2020,National,2020-05-02,Joseph R. Biden Jr.,49.51351,Joseph R. Biden Jr.
2020,National,2020-05-03,Donald Trump,43.50818,Joseph R. Biden Jr.
2020,National,2020-05-03,Joseph R. Biden Jr.,49.34661,Joseph R. Biden Jr.
2020,National,2020-05-04,Donald Trump,43.26865,Joseph R. Biden Jr.
2020,National,2020-05-04,Joseph R. Biden Jr.,49.63767,Joseph R. Biden Jr.
2020,National,2020-05-05,Donald Trump,43.53196,Joseph R. Biden Jr.
2020,National,2020-05-05,Joseph R. Biden Jr.,49.26978,Joseph R. Biden Jr.
2020,National,2020-05-06,Donald Trump,43.43481,Joseph R. Biden Jr.
2020,National,2020-05-06,Joseph R. Biden Jr.,48.81763,Joseph R. Biden Jr.
2020,National,2020-05-07,Donald Trump,43.43806,Joseph R. Biden Jr.
2020,National,2020-05-07,Joseph R. Biden Jr.,48.80709,Joseph R. Biden Jr.
2020,National,2020-05-08,Donald Trump,43.44417,Joseph R. Biden Jr.
2020,National,2020-05-08,Joseph R. Biden Jr.,48.80126,Joseph R. Biden Jr.
2020,National,2020-05-09,Joseph R. Biden Jr.,48.61443,Joseph R. Biden Jr.
2020,National,2020-05-09,Donald Trump,43.24283,Joseph R. Biden Jr.
2020,National,2020-05-10,Donald Trump,43.59215,Joseph R. Biden Jr.
2020,National,2020-05-10,Joseph R. Biden Jr.,48.77852,Joseph R. Biden Jr.
2020,National,2020-05-11,Donald Trump,43.59695,Joseph R. Biden Jr.
2020,National,2020-05-11,Joseph R. Biden Jr.,48.77863,Joseph R. Biden Jr.
2020,National,2020-05-12,Donald Trump,43.57479,Joseph R. Biden Jr.
2020,National,2020-05-12,Joseph R. Biden Jr.,48.90092,Joseph R. Biden Jr.
2020,National,2020-05-13,Joseph R. Biden Jr.,48.87567,Joseph R. Biden Jr.
2020,National,2020-05-13,Donald Trump,43.62535,Joseph R. Biden Jr.
2020,National,2020-05-14,Joseph R. Biden Jr.,49.432,Joseph R. Biden Jr.
2020,National,2020-05-14,Donald Trump,43.85975,Joseph R. Biden Jr.
2020,National,2020-05-15,Donald Trump,43.87293,Joseph R. Biden Jr.
2020,National,2020-05-15,Joseph R. Biden Jr.,49.45014,Joseph R. Biden Jr.
2020,National,2020-05-16,Joseph R. Biden Jr.,49.39969,Joseph R. Biden Jr.
2020,National,2020-05-16,Donald Trump,43.76611,Joseph R. Biden Jr.
2020,National,2020-05-17,Donald Trump,43.86725,Joseph R. Biden Jr.
2020,National,2020-05-17,Joseph R. Biden Jr.,49.42661,Joseph R. Biden Jr.
2020,National,2020-05-18,Donald Trump,43.30438,Joseph R. Biden Jr.
2020,National,2020-05-18,Joseph R. Biden Jr.,48.83281,Joseph R. Biden Jr.
2020,National,2020-05-19,Donald Trump,43.27257,Joseph R. Biden Jr.
2020,National,2020-05-19,Joseph R. Biden Jr.,49.17999,Joseph R. Biden Jr.
2020,National,2020-05-20,Donald Trump,43.12975,Joseph R. Biden Jr.
2020,National,2020-05-20,Joseph R. Biden Jr.,49.13002,Joseph R. Biden Jr.
2020,National,2020-05-21,Joseph R. Biden Jr.,49.09522,Joseph R. Biden Jr.
2020,National,2020-05-21,Donald Trump,43.13844,Joseph R. Biden Jr.
2020,National,2020-05-22,Joseph R. Biden Jr.,49.10199,Joseph R. Biden Jr.
2020,National,2020-05-22,Donald Trump,43.14096,Joseph R. Biden Jr.
2020,National,2020-05-23,Donald Trump,43.07384,Joseph R. Biden Jr.
2020,National,2020-05-23,Joseph R. Biden Jr.,49.02208,Joseph R. Biden Jr.
2020,National,2020-05-24,Donald Trump,43.08038,Joseph R. Biden Jr.
2020,National,2020-05-24,Joseph R. Biden Jr.,48.91119,Joseph R. Biden Jr.
2020,National,2020-05-25,Donald Trump,43.08038,Joseph R. Biden Jr.
2020,National,2020-05-25,Joseph R. Biden Jr.,48.91119,Joseph R. Biden Jr.
2020,National,2020-05-26,Donald Trump,43.08163,Joseph R. Biden Jr.
2020,National,2020-05-26,Joseph R. Biden Jr.,49.3091,Joseph R. Biden Jr.
2020,National,2020-05-27,Donald Trump,42.95277,Joseph R. Biden Jr.
2020,National,2020-05-27,Joseph R. Biden Jr.,48.74837,Joseph R. Biden Jr.
2020,National,2020-05-28,Joseph R. Biden Jr.,48.89339,Joseph R. Biden Jr.
2020,National,2020-05-28,Donald Trump,43.26302,Joseph R. Biden Jr.
2020,National,2020-05-29,Joseph R. Biden Jr.,48.89339,Joseph R. Biden Jr.
2020,National,2020-05-29,Donald Trump,43.26302,Joseph R. Biden Jr.
2020,National,2020-05-30,Donald Trump,43.16011,Joseph R. Biden Jr.
2020,National,2020-05-30,Joseph R. Biden Jr.,48.89961,Joseph R. Biden Jr.
2020,National,2020-05-31,Donald Trump,42.99779,Joseph R. Biden Jr.
2020,National,2020-05-31,Joseph R. Biden Jr.,48.76971,Joseph R. Biden Jr.
2020,National,2020-06-01,Donald Trump,42.92402,Joseph R. Biden Jr.
2020,National,2020-06-01,Joseph R. Biden Jr.,49.16464,Joseph R. Biden Jr.
2020,National,2020-06-02,Donald Trump,43.04985,Joseph R. Biden Jr.
2020,National,2020-06-02,Joseph R. Biden Jr.,49.18728,Joseph R. Biden Jr.
2020,National,2020-06-03,Donald Trump,43.4407,Joseph R. Biden Jr.
2020,National,2020-06-03,Joseph R. Biden Jr.,49.36016,Joseph R. Biden Jr.
2020,National,2020-06-04,Joseph R. Biden Jr.,49.29779,Joseph R. Biden Jr.
2020,National,2020-06-04,Donald Trump,43.13253,Joseph R. Biden Jr.
2020,National,2020-06-05,Donald Trump,43.04684,Joseph R. Biden Jr.
2020,National,2020-06-05,Joseph R. Biden Jr.,49.61839,Joseph R. Biden Jr.
2020,National,2020-06-06,Donald Trump,42.80068,Joseph R. Biden Jr.
2020,National,2020-06-06,Joseph R. Biden Jr.,49.83311,Joseph R. Biden Jr.
2020,National,2020-06-07,Donald Trump,42.57544,Joseph R. Biden Jr.
2020,National,2020-06-07,Joseph R. Biden Jr.,49.72993,Joseph R. Biden Jr.
2020,National,2020-06-08,Donald Trump,42.57434,Joseph R. Biden Jr.
2020,National,2020-06-08,Joseph R. Biden Jr.,49.73449,Joseph R. Biden Jr.
2020,National,2020-06-09,Donald Trump,42.42978,Joseph R. Biden Jr.
2020,National,2020-06-09,Joseph R. Biden Jr.,49.91096,Joseph R. Biden Jr.
2020,National,2020-06-10,Joseph R. Biden Jr.,49.96016,Joseph R. Biden Jr.
2020,National,2020-06-10,Donald Trump,42.37121,Joseph R. Biden Jr.
2020,National,2020-06-11,Joseph R. Biden Jr.,49.96392,Joseph R. Biden Jr.
2020,National,2020-06-11,Donald Trump,42.37056,Joseph R. Biden Jr.
2020,National,2020-06-12,Joseph R. Biden Jr.,49.95887,Joseph R. Biden Jr.
2020,National,2020-06-12,Donald Trump,42.37156,Joseph R. Biden Jr.
2020,National,2020-06-13,Donald Trump,41.77098,Joseph R. Biden Jr.
2020,National,2020-06-13,Joseph R. Biden Jr.,49.8357,Joseph R. Biden Jr.
2020,National,2020-06-14,Donald Trump,41.67846,Joseph R. Biden Jr.
2020,National,2020-06-14,Joseph R. Biden Jr.,50.02848,Joseph R. Biden Jr.
2020,National,2020-06-15,Donald Trump,41.68262,Joseph R. Biden Jr.
2020,National,2020-06-15,Joseph R. Biden Jr.,50.03235,Joseph R. Biden Jr.
2020,National,2020-06-16,Donald Trump,41.42291,Joseph R. Biden Jr.
2020,National,2020-06-16,Joseph R. Biden Jr.,50.73281,Joseph R. Biden Jr.
2020,National,2020-06-17,Donald Trump,41.31588,Joseph R. Biden Jr.
2020,National,2020-06-17,Joseph R. Biden Jr.,50.46924,Joseph R. Biden Jr.
2020,National,2020-06-18,Joseph R. Biden Jr.,50.26003,Joseph R. Biden Jr.
2020,National,2020-06-18,Donald Trump,41.39189,Joseph R. Biden Jr.
2020,National,2020-06-19,Donald Trump,41.3916,Joseph R. Biden Jr.
2020,National,2020-06-19,Joseph R. Biden Jr.,50.25796,Joseph R. Biden Jr.
2020,National,2020-06-20,Donald Trump,41.49084,Joseph R. Biden Jr.
2020,National,2020-06-20,Joseph R. Biden Jr.,50.37125,Joseph R. Biden Jr.
2020,National,2020-06-21,Donald Trump,41.49467,Joseph R. Biden Jr.
2020,National,2020-06-21,Joseph R. Biden Jr.,50.36219,Joseph R. Biden Jr.
2020,National,2020-06-22,Donald Trump,41.57934,Joseph R. Biden Jr.
2020,National,2020-06-22,Joseph R. Biden Jr.,50.68838,Joseph R. Biden Jr.
2020,National,2020-06-23,Donald Trump,41.68917,Joseph R. Biden Jr.
2020,National,2020-06-23,Joseph R. Biden Jr.,51.03139,Joseph R. Biden Jr.
2020,National,2020-06-24,Joseph R. Biden Jr.,50.90134,Joseph R. Biden Jr.
2020,National,2020-06-24,Donald Trump,41.25831,Joseph R. Biden Jr.
2020,National,2020-06-25,Joseph R. Biden Jr.,50.61274,Joseph R. Biden Jr.
2020,National,2020-06-25,Donald Trump,41.0894,Joseph R. Biden Jr.
2020,National,2020-06-26,Joseph R. Biden Jr.,50.73287,Joseph R. Biden Jr.
2020,National,2020-06-26,Donald Trump,41.43504,Joseph R. Biden Jr.
2020,National,2020-06-27,Joseph R. Biden Jr.,50.7172,Joseph R. Biden Jr.
2020,National,2020-06-27,Donald Trump,41.43563,Joseph R. Biden Jr.
2020,National,2020-06-28,Donald Trump,41.43563,Joseph R. Biden Jr.
2020,National,2020-06-28,Joseph R. Biden Jr.,50.7172,Joseph R. Biden Jr.
2020,National,2020-06-29,Donald Trump,41.42496,Joseph R. Biden Jr.
2020,National,2020-06-29,Joseph R. Biden Jr.,50.56956,Joseph R. Biden Jr.
2020,National,2020-06-30,Donald Trump,41.49869,Joseph R. Biden Jr.
2020,National,2020-06-30,Joseph R. Biden Jr.,51.07664,Joseph R. Biden Jr.
2020,National,2020-07-01,Joseph R. Biden Jr.,50.91803,Joseph R. Biden Jr.
2020,National,2020-07-01,Donald Trump,41.42148,Joseph R. Biden Jr.
2020,National,2020-07-02,Donald Trump,41.46749,Joseph R. Biden Jr.
2020,National,2020-07-02,Joseph R. Biden Jr.,51.05378,Joseph R. Biden Jr.
2020,National,2020-07-03,Donald Trump,41.47327,Joseph R. Biden Jr.
2020,National,2020-07-03,Joseph R. Biden Jr.,51.05271,Joseph R. Biden Jr.
2020,National,2020-07-04,Donald Trump,41.47332,Joseph R. Biden Jr.
2020,National,2020-07-04,Joseph R. Biden Jr.,51.05271,Joseph R. Biden Jr.
2020,National,2020-07-05,Donald Trump,41.47315,Joseph R. Biden Jr.
2020,National,2020-07-05,Joseph R. Biden Jr.,51.05543,Joseph R. Biden Jr.
2020,National,2020-07-06,Donald Trump,41.47358,Joseph R. Biden Jr.
2020,National,2020-07-06,Joseph R. Biden Jr.,51.05225,Joseph R. Biden Jr.
2020,National,2020-07-07,Donald Trump,41.50049,Joseph R. Biden Jr.
2020,National,2020-07-07,Joseph R. Biden Jr.,51.12413,Joseph R. Biden Jr.
2020,National,2020-07-08,Donald Trump,41.09149,Joseph R. Biden Jr.
2020,National,2020-07-08,Joseph R. Biden Jr.,50.60867,Joseph R. Biden Jr.
2020,National,2020-07-09,Donald Trump,41.08826,Joseph R. Biden Jr.
2020,National,2020-07-09,Joseph R. Biden Jr.,50.64591,Joseph R. Biden Jr.
2020,National,2020-07-10,Donald Trump,41.10019,Joseph R. Biden Jr.
2020,National,2020-07-10,Joseph R. Biden Jr.,50.70353,Joseph R. Biden Jr.
2020,National,2020-07-11,Donald Trump,41.09998,Joseph R. Biden Jr.
2020,National,2020-07-11,Joseph R. Biden Jr.,50.71331,Joseph R. Biden Jr.
2020,National,2020-07-12,Donald Trump,41.18194,Joseph R. Biden Jr.
2020,National,2020-07-12,Joseph R. Biden Jr.,50.5736,Joseph R. Biden Jr.
2020,National,2020-07-13,Donald Trump,41.23738,Joseph R. Biden Jr.
2020,National,2020-07-13,Joseph R. Biden Jr.,50.11588,Joseph R. Biden Jr.
2020,National,2020-07-14,Donald Trump,41.2248,Joseph R. Biden Jr.
2020,National,2020-07-14,Joseph R. Biden Jr.,50.16016,Joseph R. Biden Jr.
2020,National,2020-07-15,Donald Trump,41.22783,Joseph R. Biden Jr.
2020,National,2020-07-15,Joseph R. Biden Jr.,50.33146,Joseph R. Biden Jr.
2020,National,2020-07-16,Donald Trump,41.22743,Joseph R. Biden Jr.
2020,National,2020-07-16,Joseph R. Biden Jr.,50.33147,Joseph R. Biden Jr.
2020,National,2020-07-17,Donald Trump,41.29777,Joseph R. Biden Jr.
2020,National,2020-07-17,Joseph R. Biden Jr.,50.30254,Joseph R. Biden Jr.
2020,National,2020-07-18,Donald Trump,41.29278,Joseph R. Biden Jr.
2020,National,2020-07-18,Joseph R. Biden Jr.,50.32821,Joseph R. Biden Jr.
2020,National,2020-07-19,Donald Trump,41.63427,Joseph R. Biden Jr.
2020,National,2020-07-19,Joseph R. Biden Jr.,50.42188,Joseph R. Biden Jr.
2020,National,2020-07-20,Donald Trump,41.64071,Joseph R. Biden Jr.
2020,National,2020-07-20,Joseph R. Biden Jr.,50.41682,Joseph R. Biden Jr.
2020,National,2020-07-21,Donald Trump,41.6405,Joseph R. Biden Jr.
2020,National,2020-07-21,Joseph R. Biden Jr.,50.41616,Joseph R. Biden Jr.
2020,National,2020-07-22,Donald Trump,41.80717,Joseph R. Biden Jr.
2020,National,2020-07-22,Joseph R. Biden Jr.,49.54337,Joseph R. Biden Jr.
2020,National,2020-07-23,Donald Trump,41.99007,Joseph R. Biden Jr.
2020,National,2020-07-23,Joseph R. Biden Jr.,49.88742,Joseph R. Biden Jr.
2020,National,2020-07-24,Joseph R. Biden Jr.,49.88387,Joseph R. Biden Jr.
2020,National,2020-07-24,Donald Trump,41.88662,Joseph R. Biden Jr.
2020,National,2020-07-25,Donald Trump,41.88645,Joseph R. Biden Jr.
2020,National,2020-07-25,Joseph R. Biden Jr.,49.89065,Joseph R. Biden Jr.
2020,National,2020-07-26,Donald Trump,41.89692,Joseph R. Biden Jr.
2020,National,2020-07-26,Joseph R. Biden Jr.,49.94614,Joseph R. Biden Jr.
2020,National,2020-07-27,Donald Trump,41.77862,Joseph R. Biden Jr.
2020,National,2020-07-27,Joseph R. Biden Jr.,49.95015,Joseph R. Biden Jr.
2020,National,2020-07-28,Donald Trump,41.84991,Joseph R. Biden Jr.
2020,National,2020-07-28,Joseph R. Biden Jr.,50.05038,Joseph R. Biden Jr.
2020,National,2020-07-29,Joseph R. Biden Jr.,49.99166,Joseph R. Biden Jr.
2020,National,2020-07-29,Donald Trump,41.71321,Joseph R. Biden Jr.
2020,National,2020-07-30,Joseph R. Biden Jr.,50.01862,Joseph R. Biden Jr.
2020,National,2020-07-30,Donald Trump,41.74516,Joseph R. Biden Jr.
2020,National,2020-07-31,Donald Trump,41.95304,Joseph R. Biden Jr.
2020,National,2020-07-31,Joseph R. Biden Jr.,50.23535,Joseph R. Biden Jr.
2020,National,2020-08-01,Joseph R. Biden Jr.,50.23535,Joseph R. Biden Jr.
2020,National,2020-08-01,Donald Trump,41.95304,Joseph R. Biden Jr.
2020,National,2020-08-02,Donald Trump,41.94745,Joseph R. Biden Jr.
2020,National,2020-08-02,Joseph R. Biden Jr.,50.24019,Joseph R. Biden Jr.
2020,National,2020-08-03,Donald Trump,42.26674,Joseph R. Biden Jr.
2020,National,2020-08-03,Joseph R. Biden Jr.,50.45176,Joseph R. Biden Jr.
2020,National,2020-08-04,Donald Trump,42.32843,Joseph R. Biden Jr.
2020,National,2020-08-04,Joseph R. Biden Jr.,50.43012,Joseph R. Biden Jr.
2020,National,2020-08-05,Donald Trump,42.70132,Joseph R. Biden Jr.
2020,National,2020-08-05,Joseph R. Biden Jr.,50.26839,Joseph R. Biden Jr.
2020,National,2020-08-06,Donald Trump,42.47258,Joseph R. Biden Jr.
2020,National,2020-08-06,Joseph R. Biden Jr.,50.04284,Joseph R. Biden Jr.
2020,National,2020-08-07,Joseph R. Biden Jr.,49.93691,Joseph R. Biden Jr.
2020,National,2020-08-07,Donald Trump,42.1278,Joseph R. Biden Jr.
2020,National,2020-08-08,Donald Trump,42.1278,Joseph R. Biden Jr.
2020,National,2020-08-08,Joseph R. Biden Jr.,49.93691,Joseph R. Biden Jr.
2020,National,2020-08-09,Donald Trump,42.12852,Joseph R. Biden Jr.
2020,National,2020-08-09,Joseph R. Biden Jr.,49.93837,Joseph R. Biden Jr.
2020,National,2020-08-10,Donald Trump,41.93478,Joseph R. Biden Jr.
2020,National,2020-08-10,Joseph R. Biden Jr.,50.20033,Joseph R. Biden Jr.
2020,National,2020-08-11,Donald Trump,42.05714,Joseph R. Biden Jr.
2020,National,2020-08-11,Joseph R. Biden Jr.,50.39481,Joseph R. Biden Jr.
2020,National,2020-08-12,Donald Trump,42.17106,Joseph R. Biden Jr.
